firma_adi,kategoriler,logo_url
abc salca,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-abc-salca-250x250-1.jpg
acarsoy tekstil,Tekstil,https://ensotek.com/upload/17/acarsoy-tekstil-250x250-1.png
accado kilit,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-accado-kilit-250x250-1.jpg
acity,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-acity-250x250-1.jpg
adacal,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-adacal-250x250-1.jpg
ado mining,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-ado-mining-250x250-1.jpg
adopen,Metal; Plastik,https://ensotek.com/upload/1/ensotek-referanslari-adopen-250x250-1.jpg
ak aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-ak-aluminyum-250x250-1.jpg
akbati avm,AVM - İş Merkezi - Otel,https://ensotek.com/upload/3/ensotek-referanslari-akbati-avm-250x250-1.jpg
akcansa,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-akcansa-250x250-1.jpg
akdas dokum,Metal,https://ensotek.com/upload/2/ensotek-referanslari-akdas-dokum-250x250-1.jpg
akim metal,Metal,https://ensotek.com/upload/16/akim-metal-250x250-1.jpg
akkardan,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-akkardan-250x250-1.jpg
akoni kimya as,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-akoni-kimya-as-250x250-1.jpg
al asim aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-al-asim-aluminyum-250x250-1.jpg
albayrak branda,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-albayrak-branda-250x250-1.jpg
alemdar,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-alemdar-250x250-1.jpg
alfa metal,Metal,https://ensotek.com/upload/16/alfa-metal-250x250-1.png
altaca enerji,Enerji,https://ensotek.com/upload/17/ensotek-referanslari-altaca-enerji-250x250-1.jpg
altinsu tekstil,Tekstil,https://ensotek.com/upload/17/altinsu-tekstil-250x250-1.png
altinyag,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-altinyag-250x250-1.jpg
alubond,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-alubond-250x250-1.jpg
alumati,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-alumati-250x250-1.jpg
alumina,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-alumina-250x250-1.jpg
aluminco,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-aluminco-250x250-1.jpg
alutek,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-alutek-250x250-1.jpg
alyans yag,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-alyans-yag-250x250-1.jpg
amana foods min,Gıda & Yağ,https://ensotek.com/upload/16/amana-foods-min-250x250-1.jpg
amcor,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-amcor-250x250-1.jpg
anatel,Metal,https://ensotek.com/upload/16/anatel-250x250-1.jpg
anka,Metal; Otomotiv,https://ensotek.com/upload/2/ensotek-referanslari-anka-250x250-1.jpg
ara makina,Alüminyum - Tel Çekme; Mühendislik - Makine,https://ensotek.com/upload/10/ensotek-referanslari-ara-makina-250x250-1.jpg
ara makina min,Mühendislik - Makine,https://ensotek.com/upload/17/ara-makina-min-250x250-1.jpg
arcelik,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-arcelik-250x250-1.jpg
ardokum merdane,Metal,https://ensotek.com/upload/16/ardokum-merdane-250x250-1.png
aref sogutma min,Mühendislik - Makine,https://ensotek.com/upload/17/aref-sogutma-min-250x250-1.jpg
arfen aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-arfen-aluminyum-250x250-1.jpg
ark emre,Metal,https://ensotek.com/upload/2/ensotek-referanslari-ark-emre-250x250-1.jpg
arslan aluminyum,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/1/ensotek-referanslari-arslan-aluminyum-250x250-1.jpg
as cimento,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-as-cimento-250x250-1.jpg
aschem,Kimya,https://ensotek.com/upload/5/ensotek-referanslari-aschem-250x250-1.jpg
asico,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-asico-250x250-1.jpg
askale cimento,Çimento - Maden,https://ensotek.com/upload/1/ensotek-referanslari-askale-cimento-250x250-1.jpg
aslanli tel sanayi,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-aslanli-tel-sanayi-250x250-1.jpg
assan aluminyum,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/1/ensotek-referanslari-assan-aluminyum-250x250-1.jpg
atak ambalaj,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-atak-ambalaj-250x250-1.jpg
atesoglu,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-atesoglu-250x250-1.jpg
